iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user,latitude,longitude,sat_radius,beam_radius,freq
,18,0,0,0.111112228,11907266.57,7.972773504,1.98,23576387.8,0,30,129.6,20,109.9157718,1
,18,1,91,0.111108101,11337589.59,8.702298257,1.98,22448427.39,246686.0153,30,131.2,20,109.2120925,2
,18,2,23217,0.111112371,11755143.84,7.662552545,1.98,23275184.81,1002.50613,31.6,130.4,20,110.1939327,0
,18,3,847,0.111105465,11907266.57,7.166647222,1.67,19885135.16,23477.13715,31.6,132,20,110.1958595,1
,18,4,0,0.111110935,11755143.84,8.517386398,1.98,23275184.81,0,31.6,140,20,109.3826075,0
,18,5,0,0.111111429,11755143.84,8.019423817,1.98,23275184.81,0,33.2,128,20,109.7342405,0
,18,6,25038,0.111108182,11907266.57,7.536690368,1.98,23576387.8,941.6242431,33.2,129.6,20,109.3018266,1
,18,7,26640,0.111111719,11337589.59,8.179227082,1.98,22448427.39,842.6586858,33.2,131.2,20,110.1128121,2
,18,8,6604,0.111113172,11755143.84,7.198277763,1.67,19631090.22,2972.60603,33.2,132.8,20,108.8200896,0
,18,9,868,0.111104276,11907266.57,6.918491638,1.67,19885135.16,22909.14189,33.2,134.4,20,108.3160612,1
,18,10,1198,0.111115656,11337589.59,7.473704968,1.98,22448427.39,18738.25325,33.2,136,20,109.8667221,2
,18,11,117,0.111109649,11907266.57,7.723292432,1.98,23576387.8,201507.588,33.2,139.2,20,109.9302178,1
,18,12,0,0.111113075,11337589.59,8.033445316,1.98,22448427.39,0,33.2,140.8,20,109.3034213,2
,18,13,0,0.111113015,11755143.84,7.345434483,1.67,19631090.22,0,34.8,130.4,20,109.1315947,0
,18,14,4827,0.1111051,11907266.57,7.070757863,1.67,19885135.16,4119.563945,34.8,132,20,109.7219689,1
,18,15,45999,0.11111547,11337589.59,7.522036485,1.98,22448427.39,488.0199002,34.8,133.6,20,110.2277843,2
,18,16,286636,0.111113003,11755143.84,7.243854842,1.67,19631090.22,68.48787389,34.8,135.2,20,110.2483438,0
,18,17,150725,0.111102615,11907266.57,6.686260186,1.67,19885135.16,131.9299065,34.8,136.8,20,109.5619596,1
,18,18,42266,0.111119333,11337589.59,6.826310521,1.67,18933774.62,447.967033,34.8,138.4,20,110.1600447,2
,18,19,5444,0.111112356,11755143.84,7.599248095,1.98,23275184.81,4275.382956,34.8,140,20,110.4654692,0
,18,20,319,0.111112617,11755143.84,7.446717782,1.98,23275184.81,72962.96179,36.4,132.8,20,110.2292492,0
,18,21,0,0.111103842,11907266.57,6.825260678,1.67,19885135.16,0,36.4,134.4,20,110.2155662,1
,18,22,16337,0.111118424,11337589.59,7.166811595,1.67,18933774.62,1158.950518,36.4,136,20,110.8085974,2
,18,23,26610,0.111113054,11755143.84,7.29006603,1.67,19631090.22,737.733567,36.4,137.6,20,110.7035722,0
,18,24,89871,0.111103079,11907266.57,6.691770166,1.67,19885135.16,221.26309,36.4,139.2,20,110.1858518,1
,18,25,24112,0.111117701,11337589.59,7.219534367,1.67,18933774.62,785.2428093,36.4,140.8,20,110.7104728,2
,18,26,0,0.11110364,11907266.57,6.901625856,1.67,19885135.16,0,38,136.8,20,109.5987388,1
,18,27,15496,0.111118858,11337589.59,7.022745875,1.67,18933774.62,1221.849162,38,138.4,20,110.365824,2
,18,28,26042,0.111113195,11755143.84,7.209058915,1.67,19631090.22,753.8242155,38,140,20,110.0523348,0
,18,29,3397,0.111106109,11907266.57,7.321709772,1.67,19885135.16,5853.734225,38,141.6,20,109.2904054,1
,18,30,0,0.111102703,11907266.57,6.648934133,1.67,19885135.16,0,39.6,139.2,20,109.8560314,1
,18,31,17374,0.111118114,11337589.59,7.21710499,1.67,18933774.62,1089.776368,39.6,140.8,20,109.4602871,2
,18,32,1993,0.111112734,11755143.84,7.543016414,1.98,23275184.81,11678.46704,39.6,142.4,20,109.7946232,0
,18,33,2050,0.111112688,11755143.84,7.601381243,1.98,23275184.81,11353.74869,41.2,140,20,109.3424507,0
,18,34,1752,0.111103263,11907266.57,6.753360492,1.67,19885135.16,11349.96299,41.2,141.6,20,110.0863726,1
,18,35,0,0.111117462,11337589.59,7.324288791,1.67,18933774.62,0,41.2,143.2,20,108.3090596,2
,18,36,0,0.111107379,11907266.57,7.417408645,1.98,23576387.8,0,42.8,139.2,20,108.1437188,1
,18,37,40429,0.11111521,11337589.59,7.660091854,1.98,22448427.39,555.2555688,42.8,140.8,20,110.2678599,2
,18,38,2127,0.111112476,11755143.84,7.70626285,1.98,23275184.81,10942.72911,42.8,142.4,20,110.3833071,0
,18,39,4002,0.11110788,11907266.57,7.404011978,1.98,23576387.8,5891.151374,42.8,144,20,110.1881768,1
,18,40,502,0.111111766,11337589.59,8.150930958,1.98,22448427.39,44717.98285,42.8,145.6,20,109.416561,2
,18,41,747,0.111108994,11907266.57,7.534978825,1.98,23576387.8,31561.42945,44.4,141.6,20,110.3904366,1
,18,42,1507,0.111113519,11337589.59,7.875782826,1.98,22448427.39,14896.10311,44.4,143.2,20,108.1929793,2
,18,43,865,0.11111075,11755143.84,8.545708638,1.98,23275184.81,26907.7281,44.4,144.8,20,109.5986235,0
,18,44,0,0.111117392,11907266.57,8.533858309,1.98,23576387.8,0,44.4,146.4,20,110.0476092,1
