自治体,人口,経度,緯度
大田区,1,139.715987,35.56126
1,1,139.766329,35.48848
1,1,139.814882,35.415705
1,1,139.897423,35.308005
1,1,139.915873,35.23705
1,1,139.878001,35.167224
1,1,139.845471,35.117992
1,1,139.834304,35.019837
1,1,139.781381,34.923953
1,1,139.655199,34.835112
1,1,139.630778,34.770222
1,1,139.59314,34.688872
1,1,139.449425,34.559858
1,1,139.220086,34.482918
1,1,139.099236,34.510081
1,1,138.919335,34.515739
1,1,138.78403,34.540314
1,1,138.59176,34.563508
1,1,138.489798,34.627456
1,1,138.380068,34.628256
1,1,138.260627,34.621064
1,1,138.168376,34.619466
1,1,138.006208,34.634648
1,1,137.873173,34.641039
1,1,137.712947,34.636246
1,1,137.590593,34.625858
1,1,137.439107,34.614671
1,1,137.292477,34.604281
1,1,137.165267,34.579499
1,1,137.053595,34.558709
1,1,136.919588,34.526715
1,1,136.795292,34.494708
1,1,136.660314,34.469093
1,1,136.517568,34.469894
1,1,136.392301,34.456283
1,1,136.299079,34.434661
1,1,136.224307,34.421846
1,1,136.095156,34.404221
1,1,135.966975,34.3906
1,1,135.827142,34.374572
1,1,135.759168,34.360946
1,1,135.641669,34.345714
1,1,135.562042,34.327271
1,1,135.454254,34.300803
1,1,135.390164,34.289572
1,1,135.294028,34.275129
1,1,135.20469,34.262289
1,1,135.095931,34.248645
1,1,135.013391,34.236604
1,1,134.910458,34.213319
1,1,134.804612,34.184406
1,1,134.721101,34.170749
1,1,134.617197,34.156286
1,1,134.533686,34.141017
1,1,134.428811,34.124137
1,1,134.35501,34.112078
1,1,134.249164,34.079913
1,1,134.180219,34.047735
1,1,134.084083,34.015545
1,1,134.001543,33.99542
1,1,133.934539,33.981732
1,1,133.869478,33.966432
1,1,133.792764,33.951128
1,1,133.699542,33.930988
1,1,133.601465,33.910843
1,1,133.524751,33.884245
1,1,133.421818,33.857638
1,1,133.304319,33.834249
1,1,133.196531,33.809241
1,1,133.117875,33.795523
1,1,133.035335,33.770503
1,1,132.949881,33.748705
1,1,132.86637,33.735786
1,1,132.785772,33.722864
1,1,132.695463,33.71721
1,1,132.604183,33.688935
1,1,132.527469,33.666309
1,1,132.444928,33.638017
1,1,132.347822,33.617803
1,1,132.255571,33.596776
1,1,132.143899,33.573316
1,1,132.043879,33.554705
1,1,131.939004,33.538519
1,1,131.833158,33.523139
1,1,131.727312,33.504518
1,1,131.649627,33.489132
1,1,131.547666,33.468883
1,1,131.445704,33.45268
1,1,131.359279,33.433233
1,1,131.278681,33.41135
1,1,131.206822,33.396759
1,1,131.1136,33.373245
1,1,131.008725,33.35378
1,1,130.910648,33.334311
1,1,130.801889,33.309968
1,1,130.737799,33.336745
1,1,130.656229,33.375677
1,1,130.566892,33.42675
1,1,130.502801,33.479413
1,1,130.439123,33.557594
福岡市,1,130.401735,33.590313
